"GCXH","XZQHMC","KKMC","FXLX","GCSJ","HPZL","HP","CLPPXH"
"320300108874994318","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/12 10:21:41","51","苏C05***","宇通牌"
"320300108874994221","新沂市","江苏省徐州市新沂市S323连徐线K96瓦窑检查站市际卡口","1","2023/12/12 10:21:45","01","苏CGE***","-"
"320300108874994698","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/12 10:22:03","02","苏C7U***","-"
"320300108874995033","睢宁县","徐州市睢宁县S252塔双线K56江苏徐州-S252-苏皖界省际卡口","1","2023/12/12 10:22:06","02","苏C9F***","-"
"320300108874996357","睢宁县","徐州市睢宁县G104北京-福州K873江苏徐州-G104-苏皖界省际卡口","1","2023/12/12 10:22:16","02","苏CD8***","-"
"320300108874998261","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:22:18","01","鲁DC2***","-"
"320300108874997688","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/12 10:22:18","02","苏CS0***","-"
"320300108874996617","新沂市","徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口","1","2023/12/12 10:22:20","02","鲁Q3L***","-"
"320300108874997642","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/12 10:22:23","02","苏C3Y***","-"
"320300108874999380","新沂市","徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口","1","2023/12/12 10:22:41","02","苏C3S***","-"
"320300108874998772","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/12 10:22:42","02","鲁H58***","-"
"320300108875000278","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/12 10:22:49","52","苏CDC***","-"
"320300108875002565","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/12 10:23:03","02","苏C77***","-"
"320300108875005234","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/12 10:23:26","52","苏CDS***","-"
"320300108875006137","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:23:30","02","鲁R20***","-"
"320300108875005469","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/12 10:23:32","02","苏A27***","-"
"320300108875006188","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/12 10:23:36","02","冀EA7***","-"
"320300108875006099","铜山县","徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口","1","2023/12/12 10:23:45","02","苏C06***","-"
"320300108875008020","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:23:48","02","苏CR7***","-"
"320300108875008450","丰县","徐州市丰县G518518国道K358马楼公路站省际卡口","1","2023/12/12 10:23:48","02","苏C3F***","-"
"320300108875007157","铜山县","徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口","1","2023/12/12 10:23:53","02","苏MJ9***","-"
"320300108875009391","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/12 10:24:12","02","苏C88***","-"
"320300108875011286","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:24:18","01","沪FJ8***","-"
"320300108875010133","睢宁县","徐州市睢宁县G104北京-福州K873江苏徐州-G104-苏皖界省际卡口","1","2023/12/12 10:24:19","01","苏CLK***","驼马牌-未知系列0-未知年款0"
"320300108875010334","睢宁县","徐州市睢宁县S252塔双线K56江苏徐州-S252-苏皖界省际卡口","1","2023/12/12 10:24:27","02","皖LTC***","-"
"320300108875010799","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/12 10:24:32","02","苏C3K***","-"
"320300108875013572","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:24:38","01","鲁Q95***","-"
"320300108875016595","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/12 10:25:17","01","苏NGE***","-"
"320300108875017337","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:25:18","02","鲁Q48***","-"
"320300108875017822","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:25:18","02","鲁Q48***","-"
"320300108875018104","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:25:23","02","鲁R8X***","-"
"320300108875017906","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/12 10:25:32","01","晋M18***","-"
"320300108875018160","新沂市","徐州市新沂市S505505省道K10新沂高速西出口-505省道宿迁界市际卡口","1","2023/12/12 10:25:39","51","苏C09***","宇通牌"
"320300108875021606","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/12 10:25:53","01","苏NCS***","-"
"320300108875021285","睢宁县","徐州市睢宁县S324燕沭睢线K201省道桑庄王马路路口西侧-向东卡口市际卡口","2","2023/12/12 10:25:54","01","皖LF9***","-"
"320300108875021457","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/12 10:26:08","02","鲁Q2R***","-"
"320300108875023941","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/12 10:26:08","02","苏CL9***","-"
"320300108875022206","新沂市","江苏省徐州市新沂市S323连徐线K96瓦窑检查站市际卡口","1","2023/12/12 10:26:09","01","豫PX3***","-"
"320300108875025570","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/12 10:26:29","02","鲁MQ6***","-"
"320300108875024328","睢宁县","徐州市睢宁县G104北京-福州K873江苏徐州-G104-苏皖界省际卡口","1","2023/12/12 10:26:30","51","苏C06***","宇通牌"
"320300108875026594","睢宁县","徐州市睢宁县S252塔双线K56江苏徐州-S252-苏皖界省际卡口","1","2023/12/12 10:26:57","01","皖CB2***","汉江牌-未知系列1-未知年款0"
"320300108875027540","睢宁县","徐州市睢宁县G104北京-福州K873江苏徐州-G104-苏皖界省际卡口","1","2023/12/12 10:27:02","02","苏C23***","-"
"320300108875028501","睢宁县","徐州市睢宁县S252塔双线K56江苏徐州-S252-苏皖界省际卡口","1","2023/12/12 10:27:15","52","苏CD9***","-"
