"GCXH","XZQHMC","KKMC","FXLX","GCSJ","HPZL","HP","CLPPXH"
"320300108959851276","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:29:58","-","苏CX0***","-"
"320300108959851268","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 0:30:00","01","苏NGH***","宇通牌"
"320300108959851881","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:30:34","02","苏C77***","-"
"320300108959853207","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:31:52","02","苏C07***","未知厂商0牌-未知系列0-未知年款2"
"320300108959853253","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:32:09","01","皖LG1***","-"
"320300108959853742","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:32:33","02","皖L58***","-"
"320300108959855058","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:34:03","01","苏AN5***","-"
"320300108959857208","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:36:24","02","皖FE3***","-"
"320300108959857471","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:36:47","13","京LQ3***","-"
"320300108959857844","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:37:10","01","苏CQE***","-"
"320300108959858439","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:37:50","02","皖LNK***","-"
"320300108959861346","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:40:53","02","苏CP0***","-"
"320300108959862042","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 0:41:51","01","苏H98***","-"
"320300108959862658","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:42:15","01","苏H40***","-"
"320300108959863098","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 0:43:00","01","苏CKB***","-"
"320300108959863812","丰县","徐州市丰县G518518国道K358马楼公路站省际卡口","1","2023/12/24 0:43:28","02","苏CD0***","-"
"320300108959863614","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:43:37","01","鲁H27***","汉江牌-未知系列1-未知年款0"
"320300108959864101","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:44:01","01","苏CDF***","-"
"320300108959864237","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:44:15","02","苏C7M***","-"
"320300108959865929","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:46:18","01","鲁Q87***","-"
"320300108959866414","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:46:47","02","苏CT5***","-"
"320300108959866695","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 0:47:07","01","鲁Q09***","-"
"320300108959866661","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:47:11","01","鲁L68***","-"
"320300108959868317","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 0:49:08","-","京JG5***","-"
"320300108959868609","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:49:25","02","苏C22***","-"
"320300108959869740","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:50:51","02","苏C99***","-"
"320300108959871049","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/24 0:52:23","02","鲁H58***","-"
"320300108959873071","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:54:49","01","鲁RG1***","-"
"320300108959873272","铜山县","徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口","1","2023/12/24 0:55:15","02","苏C90***","-"
"320300108959873986","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:56:06","02","苏CER***","-"
"320300108959874685","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:57:09","02","苏0F2***","-"
"320300108959875210","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:57:39","52","苏CDE***","-"
"320300108959875400","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 0:58:00","01","鲁Q09***","-"
"320300108959875771","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:58:22","02","苏C80***","-"
"320300108959876909","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:59:54","02","皖L33***","-"
"320300108959877413","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:00:34","01","苏CMP***","-"
"320300108959878364","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:01:35","01","鲁H13***","-"
"320300108959878118","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:01:37","02","鲁HG3***","-"
"320300108959878378","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:02:00","01","鲁Q79***","-"
"320300108959878508","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:02:11","01","鲁Q71***","-"
"320300108959879009","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:02:49","01","鲁VC2***","汉江牌-未知系列1-未知年款0"
"320300108959879127","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:02:53","02","苏CH8***","-"
"320300108959879397","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:03:06","52","辽BD0***","-"
"320300108959879712","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:03:39","02","苏C31***","-"
"320300108959880361","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 1:04:31","01","苏CMT***","-"
"320300108959881662","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:06:06","01","宁AM2***","-"
"320300108959881896","丰县","徐州市丰县G518518国道K358马楼公路站省际卡口","1","2023/12/24 1:06:29","02","鲁CA6***","-"
"320300108959882066","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:06:53","-","皖C95***","-"
"320300108959882387","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:07:09","-","B6XM***","-"
"320300108959882864","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/24 1:07:25","02","苏CF9***","-"
"320300108959882698","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:07:38","01","鲁Q67***","-"
"320300108959884200","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:09:43","01","鲁DD5***","-"
"320300108959884933","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:10:15","01","苏CNR***","-"
"320300108959886113","铜山县","徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口","1","2023/12/24 1:12:10","02","苏CV8***","-"
"320300108959886374","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:12:26","02","苏C78***","-"
"320300108959886400","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:12:34","01","鲁Q33***","-"
"320300108959886671","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:12:54","01","晋LB0***","汉江牌-未知系列1-未知年款0"
"320300108959887911","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:14:35","01","鲁Q39***","-"
"320300108959888041","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:14:38","52","皖FDT***","-"
"320300108959888039","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:14:39","52","皖FDT***","-"
"320300108959888169","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:14:48","01","苏A9D***","-"
"320300108959888242","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:14:49","-","鲁A8***","-"
"320300108959889041","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:15:57","01","鲁MAE***","-"
"320300108959889881","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:17:20","02","苏C61***","-"
"320300108959889995","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:17:28","02","苏C3M***","-"
"320300108959890777","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:18:36","-","苏CAH***","-"
"320300108959891824","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:20:10","01","鲁Q11***","-"
"320300108959892641","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:21:22","01","鲁Q00***","-"
"320300108959893112","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:21:40","01","赣FB1***","-"
"320300108959894007","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:23:16","02","苏C66***","-"
"320300108959894113","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 1:23:23","01","鲁QV8***","-"
"320300108959894217","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 1:23:32","01","鲁QV7***","-"
"320300108959894548","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:24:02","02","苏A9X***","-"
"320300108959894715","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:24:09","01","浙L27***","-"
"320300108959895085","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:24:20","01","皖SF8***","扬子牌-未知系列0-未知年款0"
"320300108959896146","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:26:25","01","皖LD7***","汉江牌-未知系列1-未知年款0"
"320300108959897360","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:28:23","01","鲁BH6***","-"
"320300108959898135","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:29:11","01","鲁H13***","-"
"320300108959900672","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 1:33:29","52","鲁DF0***","-"
"320300108959901258","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:34:00","01","鲁Q63***","-"
"320300108959901712","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 1:35:08","01","苏CMA***","-"
"320300108959902213","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:35:56","02","皖L7S***","-"
"320300108959902757","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:36:38","01","苏CTJ***","-"
"320300108959903041","铜山县","徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口","1","2023/12/24 1:37:13","02","苏CB7***","-"
"320300108959903564","新沂市","徐州市新沂市G235国道235K10江苏徐州-G235-交界市际卡口","1","2023/12/24 1:38:12","01","苏CSF***","-"
"320300108959904074","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:39:00","01","沪FP2***","汉江牌-未知系列1-未知年款0"
"320300108959904615","丰县","徐州市丰县G518518国道K358马楼公路站省际卡口","1","2023/12/24 1:39:29","02","鲁R1G***","-"
"320300108959905700","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:41:23","02","苏C30***","-"
"320300108959906023","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:42:01","02","苏C6X***","-"
"320300108959907097","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:43:26","01","鄂APM***","-"
"320300108959907084","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:43:26","01","鄂APM***","-"
"320300108959908822","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:46:19","02","苏UA7***","-"
"320300108959909255","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:47:02","01","沪FC5***","-"
"320300108959909640","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:47:58","02","苏C8T***","-"
"320300108959909698","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 1:48:06","-","鲁Q67***","-"
"320300108959909807","丰县","徐州市丰县鹿梁路K19丰县梁寨检查站市际卡口","1","2023/12/24 1:48:20","01","苏CLQ***","-"
"320300108959909870","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 1:48:25","52","苏CDN***","-"
"320300108959910459","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 1:49:21","01","苏CPC***","-"
"320300108959910703","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:49:28","01","浙A3V***","-"
"320300108959911839","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/24 1:52:04","02","闽A77***","中通牌"
"320300108959912183","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:52:35","02","苏C08***","-"
"320300108959913261","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 1:54:06","02","苏CL1***","-"
"320300108959913257","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/24 1:54:28","-","冀P77***","-"
"320300108959913338","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:54:36","02","冀C98***","-"
"320300108959913697","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 1:55:13","-","鲁HF1***","-"
"320300108959914060","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 1:55:45","02","鲁DV5***","-"
"320300108959915877","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 1:58:58","-","苏CL2***","-"
"320300108959916640","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 2:00:23","01","鲁VU5***","-"
"320300108959917652","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 2:02:59","52","苏CDM***","-"
"320300108959917910","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 2:03:29","-","鲁Q98***","-"
