"GCXH","XZQHMC","KKMC","FXLX","GCSJ","HPZL","HP","CLPPXH"
"320300108959818849","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:00:12","01","黑MN7***","-"
"320300108959818876","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:00:15","02","苏C08***","-"
"320300108959819043","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:00:26","02","苏CZ2***","-"
"320300108959820935","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:02:13","02","苏CK1***","-"
"320300108959821245","铜山县","徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口","1","2023/12/24 0:02:24","02","苏CB6***","-"
"320300108959822380","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/24 0:03:19","02","苏CG9***","-"
"320300108959822429","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/24 0:03:23","02","苏CW2***","-"
"320300108959822935","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:03:58","01","皖CD0***","汉江牌-未知系列1-未知年款0"
"320300108959823387","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:04:14","01","皖F88***","-"
"320300108959823720","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 0:04:15","01","鲁H96***","-"
"320300108959824928","新沂市","徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口","1","2023/12/24 0:05:39","01","苏CHJ***","-"
"320300108959826268","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 0:06:27","02","鲁H39***","-"
"320300108959826754","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:07:07","01","浙L31***","-"
"320300108959826938","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 0:07:27","-","A6B4***","-"
"320300108959827115","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:07:31","02","苏CE5***","-"
"320300108959827698","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:07:58","01","苏EZR***","-"
"320300108959829090","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:09:20","02","苏CP5***","-"
"320300108959829200","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:09:26","01","浙J19***","-"
"320300108959829351","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:09:35","01","豫NB9***","汉江牌-未知系列1-未知年款0"
"320300108959831149","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:10:52","02","苏C99***","-"
"320300108959831098","丰县","徐州市丰县G518518国道K358马楼公路站省际卡口","1","2023/12/24 0:10:53","01","鲁RP1***","-"
"320300108959831642","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/24 0:11:31","-","京S81***","-"
"320300108959833359","丰县","徐州市丰县鹿梁路K19丰县梁寨检查站市际卡口","1","2023/12/24 0:12:57","01","苏CAJ***","-"
"320300108959833722","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:13:18","02","苏CE1***","-"
"320300108959834500","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:13:57","02","苏C5T***","-"
"320300108959834850","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:14:22","01","鲁VX2***","-"
"320300108959835866","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 0:15:18","02","苏CR3***","-"
"320300108959836464","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:15:52","01","皖SD9***","汉江牌-未知系列1-未知年款0"
"320300108959837492","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:16:50","02","苏C90***","-"
"320300108959837576","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:16:52","02","皖LT5***","-"
"320300108959838234","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:17:29","01","鲁Q13***","-"
"320300108959839169","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/24 0:17:42","-","CU3S***","-"
"320300108959838777","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:17:52","52","苏CD3***","-"
"320300108959838908","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 0:18:08","-","UX20***","-"
"320300108959839719","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:18:49","02","皖LDF***","-"
"320300108959840839","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 0:19:35","02","鲁PU6***","-"
"320300108959840802","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:19:54","-","鲁Q39***","-"
"320300108959841795","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:20:51","52","苏CDC***","-"
"320300108959842672","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:21:39","01","鲁Q73***","汉江牌-未知系列1-未知年款0"
"320300108959843472","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 0:22:25","-","京SE6***","-"
"320300108959844146","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 0:22:37","01","苏H17***","-"
"320300108959844006","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 0:22:52","-","6T31***","-"
"320300108959844502","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/24 0:23:21","02","鲁HF6***","-"
"320300108959845315","睢宁县","徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口","2","2023/12/24 0:23:58","01","豫HT2***","-"
"320300108959845943","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:24:29","02","宁A2Q***","-"
"320300108959846847","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 0:25:05","01","鲁RB5***","-"
"320300108959846895","高速五大队","G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口","1","2023/12/24 0:25:05","01","鲁RB5***","-"
"320300108959846592","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:25:11","02","苏K99***","-"
"320300108959846669","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:25:20","01","苏CPQ***","-"
"320300108959846849","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:25:29","01","苏C1T***","-"
"320300108959846929","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:25:29","02","苏C0U***","-"
"320300108959847204","邳州市","徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口","1","2023/12/24 0:25:51","-","苏X73***","-"
"320300108959847328","铜山县","徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口","1","2023/12/24 0:25:57","02","皖LT2***","-"
"320300108959847374","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:26:00","01","鲁GE1***","-"
"320300108959847616","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:26:13","01","鲁Q15***","-"
"320300108959847706","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:26:18","01","苏CJN***","汉江牌-未知系列1-未知年款0"
"320300108959847875","铜山县","徐州市铜山县G310连云港-天水K310江苏徐州-G310-苏皖界省际卡口","1","2023/12/24 0:26:23","02","苏C89***","-"
"320300108959848553","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:27:13","01","鲁DC0***","-"
"320300108959849107","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:27:47","-","苏C29***","-"
"320300108959849532","邳州市","徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口","1","2023/12/24 0:28:12","01","鲁MAU***","-"
"320300108959849663","沛县","徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口","1","2023/12/24 0:28:21","-","京E3V***","-"
"320300108959850063","铜山县","徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口","1","2023/12/24 0:28:38","-","苏C50***","-"
"320300108959850130","铜山县","徐州市铜山县G206烟台-汕头K816江苏徐州-G206-苏皖界省际卡口","1","2023/12/24 0:28:43","02","苏CF6***","-"
